Fuel,2025,2024,2023,2022,RTO Office
CNG ONLY,4457,3612,2874,1743,MUMBAI_WEST-MH02
DIESEL,4363,4668,5148,4854,MUMBAI_WEST-MH02
DIESEL/HYBRID,212,183,100,27,MUMBAI_WEST-MH02
ELECTRIC(BOV),605,2404,3222,3238,MUMBAI_WEST-MH02
ETHANOL,8,3,0,0,MUMBAI_WEST-MH02
LNG,12,7,0,0,MUMBAI_WEST-MH02
NOT APPLICABLE,16,0,1,18,MUMBAI_WEST-MH02
PETROL,30170,39232,37596,37126,MUMBAI_WEST-MH02
PETROL/CNG,4428,4953,3386,2496,MUMBAI_WEST-MH02
PETROL(E20)/CNG,615,0,0,0,MUMBAI_WEST-MH02
PETROL(E20)/HYBRID,190,0,0,0,MUMBAI_WEST-MH02
PETROL/ETHANOL,11903,1345,648,0,MUMBAI_WEST-MH02
PETROL/HYBRID,1217,2029,2916,1390,MUMBAI_WEST-MH02
PLUG-IN HYBRID EV,8,0,0,0,MUMBAI_WEST-MH02
PURE EV,4000,1137,0,0,MUMBAI_WEST-MH02
STRONG HYBRID EV,1505,986,0,0,MUMBAI_WEST-MH02
CNG ONLY,270,150,19,82,NAGPUR_EAST_-_MH49
DIESEL,4335,3751,3388,3312,NAGPUR_EAST_-_MH49
DIESEL/HYBRID,14,5,9,2,NAGPUR_EAST_-_MH49
ELECTRIC(BOV),3022,10196,12832,7936,NAGPUR_EAST_-_MH49
ETHANOL,3,2,0,0,NAGPUR_EAST_-_MH49
LPG ONLY,862,994,725,244,NAGPUR_EAST_-_MH49
NOT APPLICABLE,53,19,18,12,NAGPUR_EAST_-_MH49
PETROL,35877,44073,40496,41494,NAGPUR_EAST_-_MH49
PETROL/CNG,1612,962,450,530,NAGPUR_EAST_-_MH49
PETROL(E20)/CNG,245,0,0,0,NAGPUR_EAST_-_MH49
PETROL(E20)/HYBRID,100,0,0,0,NAGPUR_EAST_-_MH49
PETROL/ETHANOL,16870,449,180,0,NAGPUR_EAST_-_MH49
PETROL/HYBRID,612,815,806,569,NAGPUR_EAST_-_MH49
PETROL/HYBRID/CNG,0,1,1,0,NAGPUR_EAST_-_MH49
PETROL/LPG,3,4,6,4,NAGPUR_EAST_-_MH49
PLUG-IN HYBRID EV,0,1,0,0,NAGPUR_EAST_-_MH49
PURE EV,10166,4870,0,0,NAGPUR_EAST_-_MH49
STRONG HYBRID EV,188,96,0,0,NAGPUR_EAST_-_MH49
CNG ONLY,131,95,15,11,NAGPUR_RURAL-MH40
DIESEL,9117,8317,9889,8362,NAGPUR_RURAL-MH40
DIESEL/HYBRID,6,2,3,0,NAGPUR_RURAL-MH40
ELECTRIC(BOV),960,3773,4010,2089,NAGPUR_RURAL-MH40
ETHANOL,1,0,0,0,NAGPUR_RURAL-MH40
LNG,25,15,25,0,NAGPUR_RURAL-MH40
LPG ONLY,74,39,43,16,NAGPUR_RURAL-MH40
NOT APPLICABLE,541,395,438,257,NAGPUR_RURAL-MH40
PETROL,34747,41170,36860,35585,NAGPUR_RURAL-MH40
PETROL/CNG,1156,682,331,355,NAGPUR_RURAL-MH40
PETROL(E20)/CNG,149,0,0,0,NAGPUR_RURAL-MH40
PETROL(E20)/HYBRID,56,0,0,0,NAGPUR_RURAL-MH40
PETROL/ETHANOL,12877,321,170,0,NAGPUR_RURAL-MH40
PETROL/HYBRID,291,443,371,297,NAGPUR_RURAL-MH40
PETROL/HYBRID/CNG,0,1,0,1,NAGPUR_RURAL-MH40
PETROL/LPG,2,5,3,8,NAGPUR_RURAL-MH40
PURE EV,4993,2216,0,0,NAGPUR_RURAL-MH40
STRONG HYBRID EV,56,29,0,0,NAGPUR_RURAL-MH40
CNG ONLY,97,47,15,28,NAGPUR_U_-_MH31
DIESEL,2486,2395,2378,2179,NAGPUR_U_-_MH31
DIESEL/HYBRID,20,22,11,4,NAGPUR_U_-_MH31
ELECTRIC(BOV),694,3178,3920,2598,NAGPUR_U_-_MH31
ETHANOL,5,1,0,0,NAGPUR_U_-_MH31
LPG ONLY,179,231,141,37,NAGPUR_U_-_MH31
NOT APPLICABLE,21,18,11,7,NAGPUR_U_-_MH31
PETROL,14791,19103,18908,18636,NAGPUR_U_-_MH31
PETROL/CNG,717,441,245,239,NAGPUR_U_-_MH31
PETROL(E20)/CNG,97,0,0,1,NAGPUR_U_-_MH31
PETROL(E20)/HYBRID,88,0,0,0,NAGPUR_U_-_MH31
PETROL/ETHANOL,7877,254,103,0,NAGPUR_U_-_MH31
PETROL/HYBRID,432,683,836,464,NAGPUR_U_-_MH31
PETROL/LPG,0,0,3,4,NAGPUR_U_-_MH31
PLUG-IN HYBRID EV,0,1,0,0,NAGPUR_U_-_MH31
PURE EV,4313,1755,0,0,NAGPUR_U_-_MH31
STRONG HYBRID EV,226,131,0,0,NAGPUR_U_-_MH31
CNG ONLY,786,748,437,28,NANDED_-_MH26
DIESEL,7004,5236,5000,5289,NANDED_-_MH26
DIESEL/HYBRID,1,3,2,0,NANDED_-_MH26
ELECTRIC(BOV),605,2398,2768,1718,NANDED_-_MH26
ETHANOL,0,1,0,0,NANDED_-_MH26
LPG ONLY,474,460,341,345,NANDED_-_MH26
NOT APPLICABLE,424,390,285,600,NANDED_-_MH26
PETROL,40226,44261,38865,37785,NANDED_-_MH26
PETROL/CNG,2398,1785,893,506,NANDED_-_MH26
PETROL(E20)/CNG,265,0,0,0,NANDED_-_MH26
PETROL(E20)/HYBRID,13,0,0,0,NANDED_-_MH26
PETROL(E20)/HYBRID/CNG,0,0,0,1,NANDED_-_MH26
PETROL/ETHANOL,9673,703,488,0,NANDED_-_MH26
PETROL/HYBRID,93,157,254,207,NANDED_-_MH26
PETROL/HYBRID/CNG,0,1,5,2,NANDED_-_MH26
PETROL/LPG,0,0,3,6,NANDED_-_MH26
PURE EV,3858,1372,0,0,NANDED_-_MH26
STRONG HYBRID EV,74,34,0,0,NANDED_-_MH26
CNG ONLY,154,63,6,2,NANDURBAR_-_MH39
DIESEL,3722,2178,2327,2205,NANDURBAR_-_MH39
DIESEL/HYBRID,1,0,0,0,NANDURBAR_-_MH39
ELECTRIC(BOV),38,407,626,214,NANDURBAR_-_MH39
LPG ONLY,0,9,10,5,NANDURBAR_-_MH39
NOT APPLICABLE,223,175,169,174,NANDURBAR_-_MH39
PETROL,14187,13969,12060,11535,NANDURBAR_-_MH39
PETROL/CNG,595,388,114,54,NANDURBAR_-_MH39
PETROL(E20)/CNG,60,0,0,0,NANDURBAR_-_MH39
PETROL(E20)/HYBRID,6,0,0,0,NANDURBAR_-_MH39
PETROL/ETHANOL,3759,367,164,0,NANDURBAR_-_MH39
PETROL/HYBRID,33,96,86,98,NANDURBAR_-_MH39
PETROL/LPG,10,10,9,4,NANDURBAR_-_MH39
PURE EV,753,417,0,0,NANDURBAR_-_MH39
STRONG HYBRID EV,13,3,0,0,NANDURBAR_-_MH39
CNG ONLY,2379,2745,2013,1412,NASHIK-MH15
DIESEL,23700,16314,14720,16132,NASHIK-MH15
DIESEL/HYBRID,55,39,24,2,NASHIK-MH15
ELECTRIC(BOV),1782,7389,7882,5603,NASHIK-MH15
ETHANOL,2,0,0,0,NASHIK-MH15
LPG ONLY,1125,402,108,65,NASHIK-MH15
NOT APPLICABLE,967,531,642,995,NASHIK-MH15
PETROL,61836,78060,68923,71472,NASHIK-MH15
PETROL/CNG,7586,6451,4594,3673,NASHIK-MH15
PETROL(E20)/CNG,900,0,0,0,NASHIK-MH15
PETROL(E20)/HYBRID,99,0,0,0,NASHIK-MH15
PETROL/ETHANOL,28772,2948,1799,0,NASHIK-MH15
PETROL/HYBRID,565,731,957,586,NASHIK-MH15
PETROL/HYBRID/CNG,0,0,1,0,NASHIK-MH15
PETROL/LPG,4,4,12,12,NASHIK-MH15
PURE EV,12649,4130,0,0,NASHIK-MH15
STRONG HYBRID EV,524,231,0,0,NASHIK-MH15
CNG ONLY,3500,3142,2413,2376,PANVEL_-_MH46
DIESEL,10947,9702,8412,7047,PANVEL_-_MH46
DIESEL/HYBRID,46,31,17,3,PANVEL_-_MH46
ELECTRIC(BOV),479,2932,3049,2463,PANVEL_-_MH46
ETHANOL,9,0,0,0,PANVEL_-_MH46
LNG,0,5,0,0,PANVEL_-_MH46
NOT APPLICABLE,21,32,18,18,PANVEL_-_MH46
PETROL,31734,38637,34958,33381,PANVEL_-_MH46
PETROL/CNG,9661,9249,7604,7965,PANVEL_-_MH46
PETROL(E20)/CNG,1240,0,0,0,PANVEL_-_MH46
PETROL(E20)/HYBRID,72,0,0,0,PANVEL_-_MH46
PETROL(E20)/HYBRID/CNG,0,0,1,0,PANVEL_-_MH46
PETROL/ETHANOL,15228,2096,891,0,PANVEL_-_MH46
PETROL/HYBRID,422,769,1059,667,PANVEL_-_MH46
PURE EV,2908,1007,0,0,PANVEL_-_MH46
STRONG HYBRID EV,427,235,0,0,PANVEL_-_MH46
CNG ONLY,374,268,20,2,PARBHANI_-_MH22
DIESEL,4490,2761,2819,3405,PARBHANI_-_MH22
DIESEL/HYBRID,2,0,0,0,PARBHANI_-_MH22
ELECTRIC(BOV),178,984,814,515,PARBHANI_-_MH22
ETHANOL,1,0,0,0,PARBHANI_-_MH22
LPG ONLY,620,627,792,354,PARBHANI_-_MH22
NOT APPLICABLE,609,246,281,630,PARBHANI_-_MH22
PETROL,21395,23429,20581,21319,PARBHANI_-_MH22
PETROL/CNG,1211,972,397,214,PARBHANI_-_MH22
PETROL(E20)/CNG,140,0,0,0,PARBHANI_-_MH22
PETROL(E20)/HYBRID,5,0,0,0,PARBHANI_-_MH22
PETROL/ETHANOL,5259,462,319,0,PARBHANI_-_MH22
PETROL/HYBRID,46,60,100,60,PARBHANI_-_MH22
PETROL/LPG,0,1,73,85,PARBHANI_-_MH22
PURE EV,1830,726,0,0,PARBHANI_-_MH22
STRONG HYBRID EV,29,18,0,0,PARBHANI_-_MH22
CNG ONLY,1623,1145,675,726,PEN_RAIGAD-MH06
DIESEL,2506,2210,1979,1874,PEN_RAIGAD-MH06
DIESEL/HYBRID,7,2,3,0,PEN_RAIGAD-MH06
ELECTRIC(BOV),456,1465,1571,1077,PEN_RAIGAD-MH06
ETHANOL,4,1,0,0,PEN_RAIGAD-MH06
PETROL,19530,21268,18715,17891,PEN_RAIGAD-MH06
PETROL/CNG,3321,2697,2114,2214,PEN_RAIGAD-MH06
PETROL(E20)/CNG,513,0,0,0,PEN_RAIGAD-MH06
PETROL(E20)/HYBRID,23,0,0,0,PEN_RAIGAD-MH06
PETROL/ETHANOL,7436,1313,657,0,PEN_RAIGAD-MH06
PETROL/HYBRID,76,149,210,206,PEN_RAIGAD-MH06
PETROL/HYBRID/CNG,0,0,0,1,PEN_RAIGAD-MH06
PURE EV,1353,448,0,0,PEN_RAIGAD-MH06
STRONG HYBRID EV,94,54,0,0,PEN_RAIGAD-MH06
CNG ONLY,140,166,116,57,PHALTAN_-_MH53
DIESEL,2291,1727,1907,1931,PHALTAN_-_MH53
DIESEL/HYBRID,1,1,0,0,PHALTAN_-_MH53
ELECTRIC(BOV),91,563,519,371,PHALTAN_-_MH53
LPG ONLY,0,2,2,0,PHALTAN_-_MH53
NOT APPLICABLE,332,151,188,170,PHALTAN_-_MH53
PETROL,6937,9631,10175,9347,PHALTAN_-_MH53
PETROL/CNG,629,894,807,496,PHALTAN_-_MH53
PETROL(E20)/CNG,59,0,0,0,PHALTAN_-_MH53
PETROL(E20)/HYBRID,7,0,0,0,PHALTAN_-_MH53
PETROL/ETHANOL,2412,290,191,0,PHALTAN_-_MH53
PETROL/HYBRID,19,54,87,67,PHALTAN_-_MH53
PETROL/LPG,5,6,3,23,PHALTAN_-_MH53
PURE EV,930,277,0,0,PHALTAN_-_MH53
STRONG HYBRID EV,16,10,0,0,PHALTAN_-_MH53
CNG ONLY,15032,16047,15077,10091,PUNE-MH12
DIESEL,33032,28435,26967,23442,PUNE-MH12
DIESEL/HYBRID,264,213,84,22,PUNE-MH12
ELECTRIC(BOV),4431,22936,33903,25480,PUNE-MH12
ETHANOL,60,8,0,0,PUNE-MH12
NOT APPLICABLE,111,47,70,84,PUNE-MH12
PETROL,140474,185640,182052,172193,PUNE-MH12
PETROL/CNG,27539,26106,24010,18533,PUNE-MH12
PETROL(E20)/CNG,2580,0,0,0,PUNE-MH12
PETROL(E20)/HYBRID,456,0,0,0,PUNE-MH12
PETROL/ETHANOL,71992,5946,3828,0,PUNE-MH12
PETROL/HYBRID,2436,3831,5505,2817,PUNE-MH12
PETROL/LPG,2,2,1,0,PUNE-MH12
PLUG-IN HYBRID EV,0,2,0,0,PUNE-MH12
PURE EV,30317,11501,0,0,PUNE-MH12
STRONG HYBRID EV,2792,1549,0,0,PUNE-MH12
CNG ONLY,5056,4378,3627,2221,R.T.O.BORIVALI_-_MH47
DIESEL,5230,5528,5531,4919,R.T.O.BORIVALI_-_MH47
DIESEL/HYBRID,91,83,27,13,R.T.O.BORIVALI_-_MH47
ELECTRIC(BOV),485,2023,3414,3111,R.T.O.BORIVALI_-_MH47
ETHANOL,7,1,0,0,R.T.O.BORIVALI_-_MH47
NOT APPLICABLE,0,2,0,0,R.T.O.BORIVALI_-_MH47
PETROL,38196,49694,45367,46735,R.T.O.BORIVALI_-_MH47
PETROL/CNG,4386,4622,3584,3528,R.T.O.BORIVALI_-_MH47
PETROL(E20)/CNG,649,0,0,0,R.T.O.BORIVALI_-_MH47
PETROL(E20)/HYBRID,210,0,0,0,R.T.O.BORIVALI_-_MH47
PETROL/ETHANOL,18798,2212,1033,0,R.T.O.BORIVALI_-_MH47
PETROL/HYBRID,1092,1758,2250,1341,R.T.O.BORIVALI_-_MH47
PLUG-IN HYBRID EV,0,1,0,0,R.T.O.BORIVALI_-_MH47
PURE EV,3037,547,0,0,R.T.O.BORIVALI_-_MH47
STRONG HYBRID EV,1024,632,0,0,R.T.O.BORIVALI_-_MH47
CNG ONLY,829,709,408,311,RTO_AHILYANAGAR_-_MH16
DIESEL,15549,11127,9576,10276,RTO_AHILYANAGAR_-_MH16
DIESEL/HYBRID,12,9,1,1,RTO_AHILYANAGAR_-_MH16
ELECTRIC(BOV),476,4112,5172,2329,RTO_AHILYANAGAR_-_MH16
LPG ONLY,0,2,0,1,RTO_AHILYANAGAR_-_MH16
NOT APPLICABLE,72,10,28,114,RTO_AHILYANAGAR_-_MH16
PETROL,30025,38615,35009,34862,RTO_AHILYANAGAR_-_MH16
PETROL/CNG,3986,3654,2416,1945,RTO_AHILYANAGAR_-_MH16
PETROL(E20)/CNG,587,0,0,0,RTO_AHILYANAGAR_-_MH16
PETROL(E20)/HYBRID,28,0,0,0,RTO_AHILYANAGAR_-_MH16
PETROL/ETHANOL,9553,963,566,0,RTO_AHILYANAGAR_-_MH16
PETROL/HYBRID,140,246,361,212,RTO_AHILYANAGAR_-_MH16
PETROL/LPG,0,0,1,0,RTO_AHILYANAGAR_-_MH16
PURE EV,7570,3303,0,0,RTO_AHILYANAGAR_-_MH16
STRONG HYBRID EV,142,70,0,0,RTO_AHILYANAGAR_-_MH16
CNG ONLY,103,75,2,0,RTO_CHANDRAPUR_-_MH34
DIESEL,6938,4951,5112,5382,RTO_CHANDRAPUR_-_MH34
DIESEL/HYBRID,3,0,0,0,RTO_CHANDRAPUR_-_MH34
ELECTRIC(BOV),475,1460,1203,531,RTO_CHANDRAPUR_-_MH34
ETHANOL,0,1,0,0,RTO_CHANDRAPUR_-_MH34
LNG,7,0,0,0,RTO_CHANDRAPUR_-_MH34
LPG ONLY,28,42,66,18,RTO_CHANDRAPUR_-_MH34
NOT APPLICABLE,1003,628,458,409,RTO_CHANDRAPUR_-_MH34
PETROL,29214,36553,30121,27911,RTO_CHANDRAPUR_-_MH34
PETROL/CNG,556,230,57,47,RTO_CHANDRAPUR_-_MH34
PETROL(E20)/CNG,47,0,0,0,RTO_CHANDRAPUR_-_MH34
PETROL(E20)/HYBRID,80,0,0,0,RTO_CHANDRAPUR_-_MH34
PETROL/ETHANOL,12535,403,239,0,RTO_CHANDRAPUR_-_MH34
PETROL/HYBRID,373,531,468,311,RTO_CHANDRAPUR_-_MH34
PETROL/LPG,0,0,7,16,RTO_CHANDRAPUR_-_MH34
PURE EV,2282,965,0,0,RTO_CHANDRAPUR_-_MH34
STRONG HYBRID EV,53,32,0,0,RTO_CHANDRAPUR_-_MH34
CNG ONLY,30,30,9,0,RTO_JALGAON_-_MH19
DIESEL,6369,4100,4230,4602,RTO_JALGAON_-_MH19
DIESEL/HYBRID,5,2,0,0,RTO_JALGAON_-_MH19
ELECTRIC(BOV),524,2572,2591,1480,RTO_JALGAON_-_MH19
ETHANOL,3,0,0,0,RTO_JALGAON_-_MH19
LPG ONLY,521,403,371,206,RTO_JALGAON_-_MH19
NOT APPLICABLE,373,308,372,308,RTO_JALGAON_-_MH19
PETROL,29656,37630,33770,32971,RTO_JALGAON_-_MH19
PETROL/CNG,801,532,255,103,RTO_JALGAON_-_MH19
PETROL(E20)/CNG,92,0,0,0,RTO_JALGAON_-_MH19
PETROL(E20)/HYBRID,45,0,0,0,RTO_JALGAON_-_MH19
PETROL(E20)/LPG,15,0,0,0,RTO_JALGAON_-_MH19
PETROL/ETHANOL,13790,875,502,0,RTO_JALGAON_-_MH19
PETROL/HYBRID,230,323,377,314,RTO_JALGAON_-_MH19
PETROL/HYBRID/CNG,1,1,0,0,RTO_JALGAON_-_MH19
PETROL/LPG,172,131,77,87,RTO_JALGAON_-_MH19
PURE EV,4239,1665,0,0,RTO_JALGAON_-_MH19
STRONG HYBRID EV,64,36,0,0,RTO_JALGAON_-_MH19
CNG ONLY,1119,1245,1107,632,RTO_LATUR_-_MH24
DIESEL,5293,4122,3856,4327,RTO_LATUR_-_MH24
DIESEL/HYBRID,5,2,0,0,RTO_LATUR_-_MH24
ELECTRIC(BOV),364,1654,2756,1533,RTO_LATUR_-_MH24
LPG ONLY,5,8,2,7,RTO_LATUR_-_MH24
NOT APPLICABLE,535,65,126,327,RTO_LATUR_-_MH24
PETROL,21042,23457,22057,23147,RTO_LATUR_-_MH24
PETROL/CNG,2126,2053,1551,1354,RTO_LATUR_-_MH24
PETROL(E20)/CNG,238,0,0,0,RTO_LATUR_-_MH24
PETROL(E20)/HYBRID,10,0,0,0,RTO_LATUR_-_MH24
PETROL/ETHANOL,5625,666,402,0,RTO_LATUR_-_MH24
PETROL/HYBRID,46,101,163,78,RTO_LATUR_-_MH24
PURE EV,2924,1129,0,0,RTO_LATUR_-_MH24
STRONG HYBRID EV,92,51,0,0,RTO_LATUR_-_MH24
CNG ONLY,9663,9063,7576,6464,RTO_PIMPRI_CHINCHWAD-MH14
DIESEL,27013,22018,20307,17203,RTO_PIMPRI_CHINCHWAD-MH14
DIESEL/HYBRID,193,100,38,14,RTO_PIMPRI_CHINCHWAD-MH14
ELECTRIC(BOV),1872,10883,17276,15843,RTO_PIMPRI_CHINCHWAD-MH14
ETHANOL,28,4,0,0,RTO_PIMPRI_CHINCHWAD-MH14
LNG,296,130,129,15,RTO_PIMPRI_CHINCHWAD-MH14
NOT APPLICABLE,321,126,102,49,RTO_PIMPRI_CHINCHWAD-MH14
PETROL,90042,115336,107248,92877,RTO_PIMPRI_CHINCHWAD-MH14
PETROL/CNG,23797,22680,19588,15510,RTO_PIMPRI_CHINCHWAD-MH14
PETROL(E20)/CNG,2302,0,0,0,RTO_PIMPRI_CHINCHWAD-MH14
PETROL(E20)/HYBRID,215,0,0,0,RTO_PIMPRI_CHINCHWAD-MH14
PETROL/ETHANOL,45977,3212,2091,0,RTO_PIMPRI_CHINCHWAD-MH14
PETROL/HYBRID,1183,1775,2659,1299,RTO_PIMPRI_CHINCHWAD-MH14
PLUG-IN HYBRID EV,2,2,0,0,RTO_PIMPRI_CHINCHWAD-MH14
PURE EV,14316,5532,0,0,RTO_PIMPRI_CHINCHWAD-MH14
STRONG HYBRID EV,1350,683,0,0,RTO_PIMPRI_CHINCHWAD-MH14
CNG ONLY,9663,9063,7576,6464,RTO_PIMPRI_CHINCHWAD_-_MH14
DIESEL,27013,22018,20307,17203,RTO_PIMPRI_CHINCHWAD_-_MH14
DIESEL/HYBRID,193,100,38,14,RTO_PIMPRI_CHINCHWAD_-_MH14
ELECTRIC(BOV),1872,10883,17276,15843,RTO_PIMPRI_CHINCHWAD_-_MH14
ETHANOL,28,4,0,0,RTO_PIMPRI_CHINCHWAD_-_MH14
LNG,296,130,129,15,RTO_PIMPRI_CHINCHWAD_-_MH14
NOT APPLICABLE,321,126,102,49,RTO_PIMPRI_CHINCHWAD_-_MH14
PETROL,90042,115336,107248,92877,RTO_PIMPRI_CHINCHWAD_-_MH14
PETROL/CNG,23797,22680,19588,15510,RTO_PIMPRI_CHINCHWAD_-_MH14
PETROL(E20)/CNG,2302,0,0,0,RTO_PIMPRI_CHINCHWAD_-_MH14
PETROL(E20)/HYBRID,215,0,0,0,RTO_PIMPRI_CHINCHWAD_-_MH14
PETROL/ETHANOL,45977,3212,2091,0,RTO_PIMPRI_CHINCHWAD_-_MH14
PETROL/HYBRID,1183,1775,2659,1299,RTO_PIMPRI_CHINCHWAD_-_MH14
PLUG-IN HYBRID EV,2,2,0,0,RTO_PIMPRI_CHINCHWAD_-_MH14
PURE EV,14316,5532,0,0,RTO_PIMPRI_CHINCHWAD_-_MH14
STRONG HYBRID EV,1350,683,0,0,RTO_PIMPRI_CHINCHWAD_-_MH14
CNG ONLY,803,824,456,287,RTO_SATARA_-_MH11
DIESEL,6131,4284,3888,3627,RTO_SATARA_-_MH11
DIESEL/HYBRID,8,3,1,0,RTO_SATARA_-_MH11
ELECTRIC(BOV),601,2482,2393,1489,RTO_SATARA_-_MH11
LPG ONLY,9,7,18,9,RTO_SATARA_-_MH11
NOT APPLICABLE,366,219,207,317,RTO_SATARA_-_MH11
PETROL,23359,26613,24028,22562,RTO_SATARA_-_MH11
PETROL/CNG,2786,2127,1489,1090,RTO_SATARA_-_MH11
PETROL(E20)/CNG,322,0,0,0,RTO_SATARA_-_MH11
PETROL(E20)/HYBRID,26,0,0,0,RTO_SATARA_-_MH11
PETROL/ETHANOL,8723,870,482,0,RTO_SATARA_-_MH11
PETROL/HYBRID,127,199,263,183,RTO_SATARA_-_MH11
PETROL/LPG,5,2,3,21,RTO_SATARA_-_MH11
PURE EV,3716,1147,0,0,RTO_SATARA_-_MH11
STRONG HYBRID EV,105,51,0,0,RTO_SATARA_-_MH11
CNG ONLY,992,1262,981,441,RTO_SOLAPUR-MH13
DIESEL,12135,8753,8557,10024,RTO_SOLAPUR-MH13
DIESEL/HYBRID,6,3,0,2,RTO_SOLAPUR-MH13
ELECTRIC(BOV),665,3989,4617,1798,RTO_SOLAPUR-MH13
ETHANOL,3,0,0,0,RTO_SOLAPUR-MH13
LPG ONLY,284,189,151,101,RTO_SOLAPUR-MH13
NOT APPLICABLE,289,140,335,399,RTO_SOLAPUR-MH13
PETROL,42390,47867,44893,44434,RTO_SOLAPUR-MH13
PETROL/CNG,3388,2813,2024,1410,RTO_SOLAPUR-MH13
PETROL(E20)/CNG,369,0,0,0,RTO_SOLAPUR-MH13
PETROL(E20)/HYBRID,15,0,0,0,RTO_SOLAPUR-MH13
PETROL(E20)/LPG,0,1,0,0,RTO_SOLAPUR-MH13
PETROL/ETHANOL,11184,1080,582,0,RTO_SOLAPUR-MH13
PETROL/HYBRID,148,206,295,235,RTO_SOLAPUR-MH13
PETROL/HYBRID/CNG,0,1,0,0,RTO_SOLAPUR-MH13
PETROL/LPG,4,12,15,23,RTO_SOLAPUR-MH13
PURE EV,8068,2647,0,0,RTO_SOLAPUR-MH13
STRONG HYBRID EV,110,48,0,0,RTO_SOLAPUR-MH13
CNG ONLY,992,1262,981,441,RTO_SOLAPUR_-_MH13
DIESEL,12135,8753,8557,10024,RTO_SOLAPUR_-_MH13
DIESEL/HYBRID,6,3,0,2,RTO_SOLAPUR_-_MH13
ELECTRIC(BOV),665,3989,4617,1798,RTO_SOLAPUR_-_MH13
ETHANOL,3,0,0,0,RTO_SOLAPUR_-_MH13
LPG ONLY,284,189,151,101,RTO_SOLAPUR_-_MH13
NOT APPLICABLE,289,140,335,399,RTO_SOLAPUR_-_MH13
PETROL,42390,47867,44893,44434,RTO_SOLAPUR_-_MH13
PETROL/CNG,3388,2813,2024,1410,RTO_SOLAPUR_-_MH13
PETROL(E20)/CNG,369,0,0,0,RTO_SOLAPUR_-_MH13
PETROL(E20)/HYBRID,15,0,0,0,RTO_SOLAPUR_-_MH13
PETROL(E20)/LPG,0,1,0,0,RTO_SOLAPUR_-_MH13
PETROL/ETHANOL,11184,1080,582,0,RTO_SOLAPUR_-_MH13
PETROL/HYBRID,148,206,295,235,RTO_SOLAPUR_-_MH13
PETROL/HYBRID/CNG,0,1,0,0,RTO_SOLAPUR_-_MH13
PETROL/LPG,4,12,15,23,RTO_SOLAPUR_-_MH13
PURE EV,8068,2647,0,0,RTO_SOLAPUR_-_MH13
STRONG HYBRID EV,110,48,0,0,RTO_SOLAPUR_-_MH13
CNG ONLY,1089,927,534,278,SANGLI-MH10
DIESEL,9721,7053,8263,8361,SANGLI-MH10
DIESEL/HYBRID,24,10,2,1,SANGLI-MH10
ELECTRIC(BOV),646,3869,6017,4155,SANGLI-MH10
ETHANOL,1,2,0,0,SANGLI-MH10
LPG ONLY,5,7,14,19,SANGLI-MH10
NOT APPLICABLE,548,349,504,471,SANGLI-MH10
PETROL,39934,43558,39354,39602,SANGLI-MH10
PETROL/CNG,4014,3407,2296,1699,SANGLI-MH10
PETROL(E20)/CNG,484,0,0,0,SANGLI-MH10
PETROL(E20)/HYBRID,32,0,0,0,SANGLI-MH10
PETROL/ETHANOL,11762,1164,802,0,SANGLI-MH10
PETROL/HYBRID,220,358,467,345,SANGLI-MH10
PETROL/LPG,9,8,10,35,SANGLI-MH10
PURE EV,6670,2261,0,0,SANGLI-MH10
STRONG HYBRID EV,175,103,0,0,SANGLI-MH10
CNG ONLY,1089,927,534,278,SANGLI_-_MH10
DIESEL,9721,7053,8263,8361,SANGLI_-_MH10
DIESEL/HYBRID,24,10,2,1,SANGLI_-_MH10
ELECTRIC(BOV),646,3869,6017,4155,SANGLI_-_MH10
ETHANOL,1,2,0,0,SANGLI_-_MH10
LPG ONLY,5,7,14,19,SANGLI_-_MH10
NOT APPLICABLE,548,349,504,471,SANGLI_-_MH10
PETROL,39934,43558,39354,39602,SANGLI_-_MH10
PETROL/CNG,4014,3407,2296,1699,SANGLI_-_MH10
PETROL(E20)/CNG,484,0,0,0,SANGLI_-_MH10
PETROL(E20)/HYBRID,32,0,0,0,SANGLI_-_MH10
PETROL/ETHANOL,11762,1164,802,0,SANGLI_-_MH10
PETROL/HYBRID,220,358,467,345,SANGLI_-_MH10
PETROL/LPG,9,8,10,35,SANGLI_-_MH10
PURE EV,6670,2261,0,0,SANGLI_-_MH10
STRONG HYBRID EV,175,103,0,0,SANGLI_-_MH10
CNG ONLY,803,824,456,287,SATARA-MH11
DIESEL,6131,4284,3888,3627,SATARA-MH11
DIESEL/HYBRID,8,3,1,0,SATARA-MH11
ELECTRIC(BOV),601,2482,2393,1489,SATARA-MH11
LPG ONLY,9,7,18,9,SATARA-MH11
NOT APPLICABLE,366,219,207,317,SATARA-MH11
PETROL,23359,26613,24028,22562,SATARA-MH11
PETROL/CNG,2786,2127,1489,1090,SATARA-MH11
PETROL(E20)/CNG,322,0,0,0,SATARA-MH11
PETROL(E20)/HYBRID,26,0,0,0,SATARA-MH11
PETROL/ETHANOL,8723,870,482,0,SATARA-MH11
PETROL/HYBRID,127,199,263,183,SATARA-MH11
PETROL/LPG,5,2,3,21,SATARA-MH11
PURE EV,3716,1147,0,0,SATARA-MH11
STRONG HYBRID EV,105,51,0,0,SATARA-MH11
