Fuel,2025,2024,2023,2022,RTO Office
STRONG HYBRID EV,14,7,0,0,BHADGAON-MH54
CNG ONLY,35,32,3,0,BHANDARA-MH36
DIESEL,3703,2777,2060,2036,BHANDARA-MH36
DIESEL/HYBRID,0,1,1,0,BHANDARA-MH36
ELECTRIC(BOV),276,1003,878,353,BHANDARA-MH36
ETHANOL,1,0,0,0,BHANDARA-MH36
LPG ONLY,33,13,10,7,BHANDARA-MH36
NOT APPLICABLE,824,1026,573,384,BHANDARA-MH36
PETROL,14193,16441,13154,12906,BHANDARA-MH36
PETROL/CNG,390,235,113,26,BHANDARA-MH36
PETROL(E20)/CNG,48,0,0,0,BHANDARA-MH36
PETROL(E20)/HYBRID,30,0,0,0,BHANDARA-MH36
PETROL/ETHANOL,5269,252,110,0,BHANDARA-MH36
PETROL/HYBRID,158,185,150,106,BHANDARA-MH36
PETROL/LPG,1,2,0,1,BHANDARA-MH36
PURE EV,1983,788,0,0,BHANDARA-MH36
STRONG HYBRID EV,18,5,0,0,BHANDARA-MH36
CNG ONLY,17,4,1,0,BULDHANA-MH28
DIESEL,4830,3283,3455,3425,BULDHANA-MH28
DIESEL/HYBRID,2,1,0,0,BULDHANA-MH28
ELECTRIC(BOV),140,611,494,312,BULDHANA-MH28
ETHANOL,1,0,0,0,BULDHANA-MH28
LPG ONLY,112,33,25,8,BULDHANA-MH28
NOT APPLICABLE,275,200,289,268,BULDHANA-MH28
PETROL,17734,18570,16922,16735,BULDHANA-MH28
PETROL/CNG,554,295,130,86,BULDHANA-MH28
PETROL(E20)/CNG,81,0,0,0,BULDHANA-MH28
PETROL(E20)/HYBRID,18,0,0,0,BULDHANA-MH28
PETROL/ETHANOL,5867,374,241,0,BULDHANA-MH28
PETROL/HYBRID,103,105,161,114,BULDHANA-MH28
PETROL/LPG,12,10,3,9,BULDHANA-MH28
PURE EV,1684,479,0,0,BULDHANA-MH28
STRONG HYBRID EV,21,10,0,0,BULDHANA-MH28
CNG ONLY,8,3,1,1,CHALISGAON-MH52
DIESEL,1244,741,775,901,CHALISGAON-MH52
ELECTRIC(BOV),28,96,137,117,CHALISGAON-MH52
ETHANOL,1,0,0,0,CHALISGAON-MH52
LPG ONLY,82,52,14,1,CHALISGAON-MH52
NOT APPLICABLE,90,46,51,75,CHALISGAON-MH52
PETROL,4738,5752,4363,4618,CHALISGAON-MH52
PETROL/CNG,159,81,54,23,CHALISGAON-MH52
PETROL(E20)/CNG,22,0,0,0,CHALISGAON-MH52
PETROL(E20)/HYBRID,4,0,0,0,CHALISGAON-MH52
PETROL/ETHANOL,1673,60,38,0,CHALISGAON-MH52
PETROL/HYBRID,14,27,24,15,CHALISGAON-MH52
PETROL/LPG,4,6,3,9,CHALISGAON-MH52
PURE EV,319,120,0,0,CHALISGAON-MH52
STRONG HYBRID EV,6,4,0,0,CHALISGAON-MH52
CNG ONLY,435,636,501,469,CHHATRAPATI_SAMBHAJINAGAR-MH20
DIESEL,12678,9839,8648,8414,CHHATRAPATI_SAMBHAJINAGAR-MH20
DIESEL/HYBRID,36,15,7,2,CHHATRAPATI_SAMBHAJINAGAR-MH20
ELECTRIC(BOV),1385,5990,6380,4666,CHHATRAPATI_SAMBHAJINAGAR-MH20
ETHANOL,4,0,0,0,CHHATRAPATI_SAMBHAJINAGAR-MH20
LPG ONLY,1198,1110,847,159,CHHATRAPATI_SAMBHAJINAGAR-MH20
NOT APPLICABLE,559,460,461,842,CHHATRAPATI_SAMBHAJINAGAR-MH20
PETROL,48096,55693,51414,49636,CHHATRAPATI_SAMBHAJINAGAR-MH20
PETROL/CNG,4001,3118,1997,1447,CHHATRAPATI_SAMBHAJINAGAR-MH20
PETROL(E20)/CNG,436,0,0,0,CHHATRAPATI_SAMBHAJINAGAR-MH20
PETROL(E20)/HYBRID,42,0,0,0,CHHATRAPATI_SAMBHAJINAGAR-MH20
PETROL/ETHANOL,16334,1676,1031,0,CHHATRAPATI_SAMBHAJINAGAR-MH20
PETROL/HYBRID,285,399,598,387,CHHATRAPATI_SAMBHAJINAGAR-MH20
PETROL/HYBRID/CNG,1,1,0,0,CHHATRAPATI_SAMBHAJINAGAR-MH20
PETROL/LPG,17,23,8,22,CHHATRAPATI_SAMBHAJINAGAR-MH20
PURE EV,8984,2887,0,0,CHHATRAPATI_SAMBHAJINAGAR-MH20
STRONG HYBRID EV,219,120,0,0,CHHATRAPATI_SAMBHAJINAGAR-MH20
CNG ONLY,543,492,261,133,DHARASHIV_-_MH25
DIESEL,7940,5391,5184,5871,DHARASHIV_-_MH25
DIESEL/HYBRID,1,1,0,0,DHARASHIV_-_MH25
ELECTRIC(BOV),148,582,693,276,DHARASHIV_-_MH25
LPG ONLY,1,14,18,12,DHARASHIV_-_MH25
NOT APPLICABLE,397,89,153,329,DHARASHIV_-_MH25
PETROL,17690,20523,18234,18723,DHARASHIV_-_MH25
PETROL/CNG,1698,1462,1013,851,DHARASHIV_-_MH25
PETROL(E20)/CNG,211,0,0,0,DHARASHIV_-_MH25
PETROL(E20)/HYBRID,6,0,0,0,DHARASHIV_-_MH25
PETROL/ETHANOL,5498,451,221,0,DHARASHIV_-_MH25
PETROL/HYBRID,37,52,104,74,DHARASHIV_-_MH25
PETROL/HYBRID/CNG,0,0,1,0,DHARASHIV_-_MH25
PETROL/LPG,0,1,0,3,DHARASHIV_-_MH25
PURE EV,1531,411,0,0,DHARASHIV_-_MH25
STRONG HYBRID EV,36,25,0,0,DHARASHIV_-_MH25
CNG ONLY,120,62,20,18,DHULE_-_MH18
DIESEL,6218,4257,4411,4492,DHULE_-_MH18
DIESEL/HYBRID,1,1,2,0,DHULE_-_MH18
ELECTRIC(BOV),185,1344,1561,962,DHULE_-_MH18
LPG ONLY,184,195,303,164,DHULE_-_MH18
NOT APPLICABLE,337,184,194,182,DHULE_-_MH18
PETROL,21744,24496,22441,22257,DHULE_-_MH18
PETROL/CNG,1069,653,372,190,DHULE_-_MH18
PETROL(E20)/CNG,112,0,0,0,DHULE_-_MH18
PETROL(E20)/HYBRID,8,0,0,0,DHULE_-_MH18
PETROL(E20)/LPG,1,0,0,0,DHULE_-_MH18
PETROL/ETHANOL,7175,611,363,0,DHULE_-_MH18
PETROL/HYBRID,68,128,160,153,DHULE_-_MH18
PETROL/LPG,71,83,64,125,DHULE_-_MH18
PURE EV,2803,870,0,0,DHULE_-_MH18
STRONG HYBRID EV,43,20,0,0,DHULE_-_MH18
CNG ONLY,164,96,14,1,"DY_REGIONAL_TRANSPORT_OFFICE,_HINGOLI-MH38"
DIESEL,3228,2099,2060,2529,"DY_REGIONAL_TRANSPORT_OFFICE,_HINGOLI-MH38"
DIESEL/HYBRID,1,0,0,0,"DY_REGIONAL_TRANSPORT_OFFICE,_HINGOLI-MH38"
ELECTRIC(BOV),69,454,508,494,"DY_REGIONAL_TRANSPORT_OFFICE,_HINGOLI-MH38"
